740218,41260,1,130
740231,16279,0,46
740244,0,0,0
740257,0,0,0
740270,0,0,0
740283,0,0,0
740296,0,0,0
740309,0,0,0
740322,0,0,0
740335,0,0,0
740348,0,0,0
740361,0,0,0
740374,0,0,0
740387,0,0,0
740400,0,0,0
740413,0,0,0
740426,0,0,0
740439,0,0,0
740452,0,0,0
740465,9418,0,23
740478,9043,0,30
740491,28489,0,84
740504,0,0,0
740517,0,0,0
740530,0,0,0
740543,0,0,0
740556,0,0,0
740569,0,0,0
740582,0,0,0
740595,0,0,0
740608,0,0,0
740621,0,0,0
740634,0,0,0
740647,0,0,0
740660,0,0,0
740673,0,0,0
740686,0,0,0
740699,0,0,0
740712,0,0,0
740725,9073,0,30
740738,0,0,0
740751,27975,0,92
740764,2904,0,7
740777,0,0,0
740790,0,0,0
740803,0,0,0
740816,0,0,0
740829,0,0,0
740842,0,0,0
740855,0,0,0
740868,0,0,0
740881,0,0,0
740894,0,0,0
740907,0,0,0
740920,0,0,0
740933,0,0,0
740946,0,0,0
740959,0,0,0
740972,8735,0,30
740985,0,0,0
740998,0,0,0
741011,20049,0,69
741024,5440,0,15
741037,0,0,0
741050,0,0,0
741063,0,0,0
741076,0,0,0
741089,0,0,0
741102,0,0,0
741115,0,0,0
741128,0,0,0
741141,0,0,0
741154,0,0,0
741167,0,0,0
741180,0,0,0
741193,0,0,0
741206,0,0,0
741219,0,0,0
741232,8442,0,23
741245,0,0,0
741258,0,0,0
741271,17791,0,61
741284,3503,0,7
741297,0,0,0
741310,0,0,0
741323,0,0,0
741336,0,0,0
741349,0,0,0
741362,0,0,0
741375,0,0,0
741388,0,0,0
741401,0,0,0
741414,0,0,0
741427,0,0,0
741440,0,0,0
741453,0,0,0
741466,0,0,0
741479,8092,0,30
741492,0,0,0
741505,0,0,0
741518,0,0,0
741531,17574,0,61
741544,0,0,0
741557,0,0,0
741570,0,0,0
741583,0,0,0
741596,0,0,0
741609,0,0,0
741622,0,0,0
741635,0,0,0
741648,0,0,0
741661,0,0,0
741674,0,0,0
741687,0,0,0
741700,0,0,0
741713,0,0,0
741726,0,0,0
741739,7767,0,23
741752,0,0,0
741765,0,0,0
741778,0,0,0
741791,14392,0,53
741804,0,0,0
741817,0,0,0
741830,0,0,0
741843,0,0,0
741856,0,0,0
741869,0,0,0
741882,0,0,0
741895,0,0,0
741908,0,0,0
741921,0,0,0
741934,0,0,0
741947,0,0,0
741960,0,0,0
741973,0,0,0
741986,7473,0,23
741999,0,0,0
742012,0,0,0
742025,0,0,0
742038,1512,0,7
742051,10421,0,30
742064,0,0,0
742077,0,0,0
742090,0,0,0
742103,0,0,0
742116,0,0,0
742129,0,0,0
742142,0,0,0
742155,0,0,0
742168,0,0,0
742181,0,0,0
742194,0,0,0
742207,0,0,0
742220,0,0,0
742233,0,0,0
742246,7169,0,23
742259,0,0,0
742272,0,0,0
742285,0,0,0
742298,9944,0,38
742311,0,0,0
742324,0,0,0
742337,0,0,0
742350,0,0,0
742363,0,0,0
742376,0,0,0
742389,0,0,0
742402,0,0,0
742415,0,0,0
742428,0,0,0
742441,0,0,0
742454,0,0,0
742467,0,0,0
742480,0,0,0
742493,7030,0,23
742506,0,0,0
742519,0,0,0
742532,0,0,0
742545,0,0,0
742558,8112,0,38
742571,0,0,0
742584,0,0,0
742597,0,0,0
742610,0,0,0
742623,0,0,0
742636,0,0,0
742649,0,0,0
742662,0,0,0
742675,0,0,0
742688,0,0,0
742701,0,0,0
742714,0,0,0
742727,0,0,0
742740,0,0,0
